i;prices_koCall;prices_kiCall;prices_koPut;prices_kiPut;richardson_koCall;richardson_kiCall;richardson_koPut;richardson_kiPut;cv_koCall;cv_kiCall;cv_koPut;cv_kiPut;
0;0;-1.#IND;0;-1.#IND;9.38454;-1.#IND;10.3802;-1.#IND;-1.#IND;-1.#IND;-1.#IND;-1.#IND;
112;2.21753;1.51525;3.20111;1.02919;2.40288;1.31682;2.66912;1.54808;2.20884;1.50656;3.19241;1.02049;
113;2.37816;1.33921;3.00162;1.21327;2.21678;1.51838;2.84267;1.38999;2.38488;1.34593;3.00833;1.21998;
114;2.19147;1.54114;3.17627;1.05386;2.37754;1.34248;3.13912;1.0784;2.18295;1.53262;3.16774;1.04533;
115;2.35286;1.36493;2.97673;1.23857;2.19114;1.54374;3.31403;0.918356;2.35916;1.37123;2.98303;1.24486;
116;2.53163;1.20081;3.15173;1.07823;1.98762;1.7327;3.11531;1.10253;2.52328;1.19246;3.14337;1.06987;
117;2.32796;1.39022;2.95219;1.2635;2.16599;1.56863;3.2905;0.941631;2.33387;1.39613;2.95809;1.2694;
118;2.50664;1.22564;3.12748;1.10231;2.47012;1.2505;3.09176;1.12636;2.49846;1.21745;3.11928;1.09412;
119;2.30348;1.41509;2.928;1.28808;2.64857;1.0858;3.26719;0.964685;2.30901;1.42062;2.93352;1.2936;
120;2.48201;1.2501;3.10352;1.12611;2.44625;1.27464;3.0685;1.14991;2.47399;1.24208;3.09549;1.11808;
121;2.27939;1.43953;2.90414;1.3123;2.62452;1.1096;3.24411;0.987515;2.28456;1.4447;2.9093;1.31746;
122;2.45775;1.2742;3.07986;1.14961;2.42273;1.29843;3.0455;1.17317;2.44989;1.26634;3.07199;1.14174;
123;2.2557;1.46357;2.88061;1.33617;2.60077;1.1331;3.22126;1.01012;2.26052;1.46839;2.88543;1.34099;
124;2.43384;1.29796;3.05649;1.17282;2.39954;1.32187;3.02278;1.19614;2.42614;1.29025;3.04878;1.16511;
125;2.23239;1.4872;3.19385;1.02326;2.57732;1.15632;2.86288;1.36825;2.23689;1.4917;3.19834;1.02775;
126;2.41028;1.32136;3.03341;1.19574;2.37669;1.34497;3.00034;1.21882;2.40273;1.31381;3.02586;1.18819;
127;2.20947;1.51043;3.1721;1.04532;2.55416;1.17924;2.83939;1.39151;2.21366;1.51462;3.17628;1.0495;
128;2.38707;1.34442;3.01062;1.21838;2.35416;1.36772;2.97817;1.24122;2.37968;1.33702;3.00322;1.21098;
129;2.53082;1.18939;3.15057;1.06715;2.18811;1.54506;2.81625;1.41443;2.5347;1.19327;3.15445;1.07103;
130;2.3642;1.36713;2.98812;1.24073;2.33196;1.39014;2.95627;1.26334;2.35696;1.35989;2.98087;1.23348;
131;2.50881;1.21168;3.12925;1.08875;2.16538;1.56757;2.79345;1.43701;2.51241;1.21528;3.13284;1.09234;
132;2.34168;1.38951;2.96591;1.26279;2.31008;1.41222;2.93464;1.28518;2.33458;1.38241;2.9588;1.25569;
133;2.48708;1.23369;3.10816;1.11013;2.14304;1.5897;2.77098;1.45926;2.4904;1.23701;3.11147;1.11344;
134;2.31949;1.41155;2.94398;1.28458;2.28853;1.43398;3.36896;0.85105;2.31254;1.4046;2.93702;1.27762;
135;2.46562;1.25541;3.08728;1.13127;2.12107;1.61145;3.20528;1.02475;2.46868;1.25847;3.09033;1.13432;
136;2.29763;1.43327;2.92233;1.30609;2.26728;1.45542;3.34934;0.870861;2.29082;1.42646;2.91551;1.29927;
137;2.44444;1.27684;3.06662;1.15217;2.09947;1.63284;3.18488;1.04494;2.44725;1.27965;3.06942;1.15498;
138;2.27609;1.45466;2.90095;1.32732;2.24635;1.47653;3.32986;0.890527;2.26943;1.448;2.89428;1.32064;
139;2.42352;1.298;3.04618;1.17285;2.54457;1.18754;3.16467;1.06495;2.42609;1.30057;3.04874;1.17542;
140;2.25488;1.47574;3.19741;1.03073;2.69219;1.03086;2.99359;1.22696;2.24835;1.46921;3.19087;1.02419;
141;2.40287;1.31888;3.02596;1.1933;2.52393;1.20798;3.14465;1.08477;2.40521;1.32122;3.02829;1.19564;
142;2.23399;1.4965;3.17754;1.05046;2.67204;1.05117;2.97344;1.24728;2.22759;1.49011;3.17114;1.04406;
143;2.38249;1.33949;3.00596;1.21353;2.50353;1.22819;3.12484;1.10439;2.38461;1.34161;3.00807;1.21564;
